epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,134.07,1.25272,1.28933,1.49389,0.85937,0.85769,0.91175,0.53981,1.35807,1.16517,1.76421,0.001604,0.001604,0.001604
22,139.845,1.18636,1.2141,1.41679,0.77776,0.73678,0.83957,0.48648,1.3959,1.43253,1.77203,0.0015842,0.0015842,0.0015842
23,145.551,1.13618,1.15526,1.39283,0.81657,0.84211,0.87029,0.53317,1.28865,1.04593,1.68518,0.0015644,0.0015644,0.0015644
24,151.417,1.11704,1.10277,1.41494,0.72685,0.77193,0.79544,0.43987,1.38769,1.25851,1.78397,0.0015446,0.0015446,0.0015446
25,157.231,1.11639,1.13694,1.38967,0.80392,0.89474,0.88025,0.56794,1.19249,1.04596,1.63661,0.0015248,0.0015248,0.0015248
26,162.988,1.08963,1.09824,1.38903,0.78661,0.77193,0.85952,0.52686,1.24124,1.10119,1.66806,0.001505,0.001505,0.001505
27,168.76,1.11378,1.12546,1.38977,0.74034,0.68421,0.72869,0.41419,1.40363,1.25199,1.74738,0.0014852,0.0014852,0.0014852
28,174.648,1.09515,1.04449,1.3508,0.89107,0.8611,0.9289,0.56886,1.21942,0.98427,1.63815,0.0014654,0.0014654,0.0014654
29,180.516,1.09751,1.06291,1.38566,0.84334,0.85005,0.89733,0.57412,1.19971,1.0353,1.68571,0.0014456,0.0014456,0.0014456
30,186.294,1.09043,1.07337,1.35576,0.86501,0.75439,0.86992,0.57592,1.16958,1.0003,1.54706,0.0014258,0.0014258,0.0014258
31,192.171,1.0871,1.05742,1.35666,0.88283,0.7932,0.9205,0.56961,1.24854,0.88204,1.64001,0.001406,0.001406,0.001406
32,197.974,1.04354,1.0324,1.37161,0.89053,0.80702,0.91713,0.62268,1.10906,0.91049,1.53504,0.0013862,0.0013862,0.0013862
33,204.153,1.0452,1.0248,1.32113,0.76748,0.81074,0.85484,0.56919,1.18916,0.95867,1.59728,0.0013664,0.0013664,0.0013664
34,210.296,1.02786,0.9549,1.33194,0.74197,0.85762,0.87796,0.58964,1.13815,0.97814,1.52654,0.0013466,0.0013466,0.0013466
35,216.305,1.06806,0.99176,1.32703,0.85085,0.77193,0.83562,0.52321,1.31678,1.00602,1.67439,0.0013268,0.0013268,0.0013268
36,222.416,1.00905,0.99401,1.31677,0.89628,0.75811,0.89203,0.53632,1.26679,0.92608,1.64847,0.001307,0.001307,0.001307
37,228.258,1.06024,0.99278,1.34846,0.90409,0.78947,0.88977,0.53431,1.26407,0.92757,1.63619,0.0012872,0.0012872,0.0012872
38,234.286,1.00441,0.97438,1.31179,0.77132,0.76929,0.82545,0.45943,1.32214,1.1003,1.60304,0.0012674,0.0012674,0.0012674
39,240.365,1.03063,0.98775,1.32693,0.94286,0.86854,0.93078,0.60395,1.1748,0.86055,1.5554,0.0012476,0.0012476,0.0012476
40,246.261,0.96367,0.89319,1.27722,0.88049,0.77559,0.88866,0.57725,1.22175,0.84917,1.6129,0.0012278,0.0012278,0.0012278
41,252.148,0.99632,0.91113,1.3141,0.89002,0.82456,0.89617,0.59903,1.14752,0.81817,1.59315,0.001208,0.001208,0.001208
42,258.069,0.96238,0.8808,1.27641,0.86547,0.90298,0.94228,0.6008,1.19653,0.81343,1.59126,0.0011882,0.0011882,0.0011882
43,263.879,0.96152,0.91592,1.29874,0.87457,0.78947,0.87787,0.58454,1.06379,0.83302,1.52102,0.0011684,0.0011684,0.0011684
44,269.958,0.98628,0.97299,1.27525,0.8246,0.84211,0.88004,0.57569,1.13233,0.91353,1.54621,0.0011486,0.0011486,0.0011486
45,275.822,0.96739,0.91053,1.27384,0.90369,0.87719,0.93854,0.56719,1.19878,0.86652,1.64832,0.0011288,0.0011288,0.0011288
46,281.792,0.93507,0.91604,1.25139,0.884,0.80702,0.90141,0.62228,1.12472,0.84012,1.55632,0.001109,0.001109,0.001109
47,287.714,0.96204,0.88235,1.28092,0.9144,0.87719,0.95803,0.60788,1.17269,0.74649,1.63756,0.0010892,0.0010892,0.0010892
48,293.517,0.89435,0.82312,1.23333,0.92484,0.94737,0.9795,0.61146,1.18048,0.72277,1.63543,0.0010694,0.0010694,0.0010694
49,299.445,0.91336,0.82145,1.23048,0.90014,0.75439,0.88589,0.58539,1.20717,0.83034,1.56847,0.0010496,0.0010496,0.0010496
50,305.331,0.91761,0.86276,1.25968,0.85461,0.85965,0.92016,0.56784,1.27668,0.84236,1.6176,0.0010298,0.0010298,0.0010298
51,311.333,0.91869,0.84872,1.26029,0.89178,0.87719,0.9065,0.61521,1.12395,0.78349,1.52331,0.00101,0.00101,0.00101
52,317.401,0.93864,0.8354,1.25386,0.93827,0.92982,0.9771,0.67534,1.01981,0.62906,1.41967,0.0009902,0.0009902,0.0009902
53,323.204,0.90266,0.84056,1.2417,0.90249,0.82456,0.92492,0.63786,1.06685,0.72628,1.4732,0.0009704,0.0009704,0.0009704
54,329.115,0.87318,0.81435,1.22915,0.83126,0.86433,0.9136,0.59949,1.12318,0.78436,1.5431,0.0009506,0.0009506,0.0009506
55,334.941,0.91803,0.85308,1.26384,0.91486,0.84211,0.95156,0.62501,1.11139,0.73618,1.52424,0.0009308,0.0009308,0.0009308
56,340.839,0.93648,0.80978,1.26478,0.94821,0.91228,0.95381,0.67115,1.06833,0.67517,1.57166,0.000911,0.000911,0.000911
57,346.744,0.90449,0.80721,1.25795,0.86338,0.887,0.94045,0.66821,1.05785,0.78217,1.54325,0.0008912,0.0008912,0.0008912
58,352.507,0.8731,0.7573,1.21585,0.79076,0.89474,0.90541,0.62321,1.09285,0.76047,1.49953,0.0008714,0.0008714,0.0008714
59,358.486,0.86294,0.77732,1.23881,0.85179,0.94737,0.94382,0.66857,1.03412,0.68166,1.43358,0.0008516,0.0008516,0.0008516
60,364.36,0.84552,0.76173,1.21363,0.97932,0.83093,0.95961,0.69023,1.01325,0.61415,1.44865,0.0008318,0.0008318,0.0008318
61,370.423,0.87445,0.79857,1.21713,0.88981,0.77193,0.91554,0.66526,0.98855,0.76352,1.44032,0.000812,0.000812,0.000812
62,376.315,0.82201,0.75966,1.20651,0.81085,0.87719,0.90056,0.64599,1.05394,0.75741,1.45656,0.0007922,0.0007922,0.0007922
63,382.288,0.85849,0.78132,1.22508,0.85379,0.85965,0.90173,0.58571,1.20999,0.8203,1.63917,0.0007724,0.0007724,0.0007724
64,388.163,0.83135,0.75661,1.19423,0.77995,0.93277,0.92443,0.6485,1.05875,0.69119,1.53268,0.0007526,0.0007526,0.0007526
65,394.096,0.85859,0.7463,1.22076,0.8888,0.84211,0.92483,0.572,1.16929,0.80862,1.61281,0.0007328,0.0007328,0.0007328
66,400.188,0.83271,0.75146,1.21554,0.85811,0.84211,0.90527,0.62135,1.04614,0.77704,1.48846,0.000713,0.000713,0.000713
67,406.043,0.85139,0.72563,1.20287,0.88108,0.94737,0.96601,0.6788,1.03139,0.67683,1.43709,0.0006932,0.0006932,0.0006932
68,411.911,0.81975,0.72881,1.21232,0.93818,0.84211,0.95295,0.638,1.10292,0.69598,1.48998,0.0006734,0.0006734,0.0006734
69,417.765,0.82112,0.70226,1.17586,0.92841,0.91007,0.97221,0.699,0.99488,0.67484,1.4103,0.0006536,0.0006536,0.0006536
70,423.787,0.78581,0.68138,1.18359,0.89312,0.8796,0.95064,0.59671,1.2566,0.7287,1.63435,0.0006338,0.0006338,0.0006338
71,429.781,0.81768,0.69772,1.18523,0.92476,0.86261,0.95743,0.6414,1.13953,0.69164,1.56194,0.000614,0.000614,0.000614
72,435.673,0.78752,0.69807,1.17465,0.89955,0.94272,0.95037,0.63801,1.10273,0.71082,1.5198,0.0005942,0.0005942,0.0005942
73,441.786,0.76266,0.68148,1.1791,0.90695,0.89474,0.92688,0.60964,1.22631,0.66681,1.68455,0.0005744,0.0005744,0.0005744
74,447.695,0.80367,0.71369,1.1943,0.94101,0.83955,0.91904,0.57293,1.23279,0.76392,1.65,0.0005546,0.0005546,0.0005546
75,453.895,0.76226,0.66529,1.15012,0.8622,0.92982,0.92956,0.61035,1.16894,0.71917,1.62441,0.0005348,0.0005348,0.0005348
76,459.849,0.8002,0.67993,1.17292,0.91098,0.89474,0.94409,0.6467,1.09067,0.69133,1.51017,0.000515,0.000515,0.000515
77,465.747,0.79901,0.67754,1.19007,0.94268,0.86561,0.94075,0.62338,1.14021,0.74981,1.56275,0.0004952,0.0004952,0.0004952
78,471.659,0.77659,0.66828,1.18236,0.94005,0.8253,0.94345,0.64378,1.1157,0.72788,1.54622,0.0004754,0.0004754,0.0004754
79,477.628,0.77432,0.6891,1.17892,0.92184,0.91228,0.95802,0.68213,1.04302,0.69197,1.47508,0.0004556,0.0004556,0.0004556
80,483.543,0.76888,0.69411,1.15172,0.96189,0.88565,0.95348,0.68052,1.01359,0.71979,1.43776,0.0004358,0.0004358,0.0004358
81,490.1,0.74565,0.67546,1.17422,0.9598,0.83782,0.93994,0.65636,1.0326,0.73805,1.48777,0.000416,0.000416,0.000416
82,496.652,0.75407,0.64887,1.16999,0.94872,0.87719,0.94447,0.66199,1.02373,0.72086,1.46813,0.0003962,0.0003962,0.0003962
83,503.559,0.72967,0.63871,1.13763,0.93808,0.85965,0.93676,0.64053,1.01051,0.70929,1.41825,0.0003764,0.0003764,0.0003764
84,510.166,0.72984,0.637,1.13602,0.93179,0.82456,0.91599,0.64548,1.03245,0.70732,1.4143,0.0003566,0.0003566,0.0003566
85,516.756,0.71005,0.61555,1.12936,0.89955,0.85965,0.93557,0.67952,1.00553,0.66449,1.41892,0.0003368,0.0003368,0.0003368
86,523.082,0.76225,0.61901,1.15422,0.9282,0.90726,0.95053,0.67566,1.00698,0.6617,1.4311,0.000317,0.000317,0.000317
87,529.257,0.7379,0.60571,1.138,0.97922,0.84211,0.96111,0.6643,0.9883,0.67545,1.36773,0.0002972,0.0002972,0.0002972
88,535.401,0.71115,0.60853,1.13571,0.92256,0.85965,0.95011,0.651,1.03137,0.70424,1.44262,0.0002774,0.0002774,0.0002774
89,541.81,0.70162,0.60069,1.12907,0.95863,0.87719,0.96511,0.66722,0.98128,0.67374,1.40208,0.0002576,0.0002576,0.0002576
90,548.528,0.74347,0.64318,1.14752,0.91996,0.87719,0.9605,0.67799,0.98401,0.67203,1.40637,0.0002378,0.0002378,0.0002378
91,580.797,0.56485,0.4802,1.05001,0.86756,0.84211,0.91548,0.64199,1.07422,0.78326,1.51528,0.000218,0.000218,0.000218
92,587.077,0.54188,0.44874,1.03808,0.89812,0.87719,0.95608,0.66116,1.0118,0.67437,1.42333,0.0001982,0.0001982,0.0001982
93,593.549,0.54186,0.42829,1.01854,0.96277,0.90745,0.97447,0.68808,0.95729,0.61378,1.35847,0.0001784,0.0001784,0.0001784
94,600.283,0.5096,0.42452,1.02086,0.92728,0.8948,0.96774,0.6979,0.96229,0.63802,1.34687,0.0001586,0.0001586,0.0001586
95,606.756,0.52354,0.42028,1.02588,0.94534,0.91023,0.97236,0.69452,0.98347,0.6749,1.34563,0.0001388,0.0001388,0.0001388
96,612.822,0.51747,0.43917,1.0217,0.9798,0.89474,0.97597,0.67366,1.02053,0.65566,1.38621,0.000119,0.000119,0.000119
97,619.117,0.52783,0.41978,1.02311,0.96668,0.91228,0.9827,0.68066,0.98418,0.61946,1.38208,9.92e-05,9.92e-05,9.92e-05
98,625.435,0.51113,0.40094,1.02479,0.9806,0.88689,0.97987,0.67707,0.97813,0.62336,1.3744,7.94e-05,7.94e-05,7.94e-05
99,631.776,0.49168,0.39857,1.01346,0.96015,0.87719,0.97101,0.6805,0.97347,0.64037,1.37367,5.96e-05,5.96e-05,5.96e-05
100,638.209,0.51449,0.4111,1.03103,0.96136,0.87312,0.97232,0.67697,0.96259,0.6309,1.35862,3.98e-05,3.98e-05,3.98e-05
